StockCode,Description,TotalRevenue,UnitsSold,OrderCount,UniqueCustomers,AvgPrice
20726,LUNCH BAG WOODLAND,20599.95,12392,941,371,1.6623587798579729
22457,NATURAL SLATE HEART CHALKBOARD ,20431.640000000003,6568,843,463,3.110785627283801
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,20383.86,7054,681,276,2.8896881202154807
AMAZONFEE,AMAZON FEE,20248.04,2,2,0,10124.02
22178,VICTORIAN GLASS HANGING T-LIGHT,19958.77,16297,802,306,1.224689820212309
22379,RECYCLING BAG RETROSPOT ,19755.170000000002,9157,847,318,2.157384514579011
72741,GRAND CHOCOLATECANDLE,19624.88,14155,653,397,1.3864274108089014
82482,WOODEN PICTURE FRAME WHITE FINISH,19338.97,8155,947,356,2.3714248927038626
22469,HEART OF WICKER SMALL,18993.56,11050,1025,532,1.7188742081447965
22158,3 HEARTS HANGING DECORATION RUSTIC,18399.9,5928,450,283,3.1038967611336035
21915,RED  HARMONICA IN BOX ,18385.97,16185,396,228,1.1359882607352487
20713,JUMBO BAG OWLS,18331.83,9741,683,266,1.8819248537111182
22622,BOX OF VINTAGE ALPHABET BLOCKS,18212.73,1898,332,233,9.595748155953634
84991,60 TEATIME FAIRY CAKE CASES,18151.399999999998,36348,1336,600,0.49937823264003517
21622,VINTAGE UNION JACK CUSHION COVER,18097.85,3348,527,276,5.405570489844683
37449,CERAMIC CAKE STAND + HANGING CAKES,17555.32,1852,336,142,9.479114470842333
21166,COOK WITH WINE METAL SIGN ,17553.77,9739,732,327,1.8024201663415136
47590B,PINK HAPPY BIRTHDAY BUNTING,17482.81,3445,486,263,5.074835994194485
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83,40,21.418700980392156
48138,DOORMAT UNION FLAG,17324.79,2631,399,271,6.584868871151654
21175,GIN + TONIC DIET METAL SIGN,17252.260000000002,8649,880,368,1.994711527344202
84836,ZINC METAL HEART DECORATION,17145.1,14120,902,475,1.214242209631728
48194,DOORMAT HEARTS,17129.61,2719,460,267,6.299966899595439
21231,SWEETHEART CERAMIC TRINKET BOX,16882.1,13618,1001,402,1.2396901160229108
85066,CREAM SWEETHEART MINI CHEST,16579.45,1344,424,246,12.335900297619048
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,16429.78,6559,340,233,2.5049214819332213
21258,VICTORIAN SEWING BOX LARGE,16415.04,1155,397,158,14.212155844155845
21843,RETRO SPOT CAKE STAND,16354.009999999998,1493,340,207,10.953791024782316
22752,SET 7 BABUSHKA NESTING BOXES,16308.78,1986,361,209,8.211873111782477
71459,HANGING JAM JAR T-LIGHT HOLDER,16231.62,19852,583,305,0.817631472899456
21977,PACK OF 60 PINK PAISLEY CAKE CASES,16187.31,31805,1155,518,0.5089548813079704
84406B,CREAM CUPID HEARTS COAT HANGER,16163.48,5368,590,259,3.011080476900149
85152,HAND OVER THE CHOCOLATE   SIGN ,16047.830000000002,8357,814,353,1.9202859877946634
22866,HAND WARMER SCOTTY DOG DESIGN,15957.12,7112,613,346,2.243689538807649
20972,PINK CREAM FELT CRAFT TRINKET BOX ,15952.529999999999,13367,815,407,1.1934263484701129
20712,JUMBO BAG WOODLAND ANIMALS,15896.52,8163,570,245,1.9473869900771776
20685,DOOR MAT RED SPOT,15889.75,2485,412,245,6.394265593561368
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15779.09,3988,620,284,3.9566424272818455
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15759.53,4353,447,238,3.6203836434642778
22385,JUMBO BAG SPACEBOY DESIGN,15663.61,8554,578,284,1.8311444938040684
22865,HAND WARMER OWL DESIGN,15608.78,7032,634,345,2.219678612059158
21481,FAWN BLUE HOT WATER BOTTLE,15481.310000000001,5230,616,300,2.9600975143403443
21314,SMALL GLASS HEART TRINKET POT,15454.87,7401,545,216,2.088213754897987
22867,HAND WARMER BIRD DESIGN,15422.43,6993,602,334,2.2054096954096956
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15400.28,3456,416,247,4.456099537037037
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15324.35,4205,493,268,3.6443162901307966
22585,PACK OF 6 BIRDY GIFT TAGS,15299.779999999999,12067,726,488,1.2679025441286151
22382,LUNCH BAG SPACEBOY DESIGN ,15263.68,9315,980,503,1.6386129898013957
20711,JUMBO BAG TOYS ,15168.38,7829,539,239,1.9374607229531229
35004C,SET OF 3 COLOURED  FLYING DUCKS,15139.13,2886,326,104,5.245713790713791
20971,PINK BLUE FELT CRAFT TRINKET BOX,15138.109999999999,11587,656,324,1.3064736342452747
22061,LARGE CAKE STAND  HANGING STRAWBERY,15042.61,1603,379,169,9.384036182158454
22077,6 RIBBONS RUSTIC CHARM,14955.42,8354,836,429,1.790210677519751
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,14899.6,24302,650,317,0.6131018023207967
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14890.52,2686,618,236,5.543752792256143
47566B,TEA TIME PARTY BUNTING,14679.18,3452,405,229,4.252369640787949
21217,RED SPOTTY ROUND CAKE TINS,14646.039999999999,1484,463,277,9.869299191374662
15036,ASSORTED COLOURS SILK FAN,14471.71,20539,484,196,0.7045966210623691
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,14438.97,3970,476,271,3.637020151133501
22149,FELTCRAFT 6 FLOWER FRIENDS,14426.78,6818,871,486,2.115984159577589
84970S,HANGING HEART ZINC T-LIGHT HOLDER,14407.07,17877,908,460,0.8058997594674722
22384,LUNCH BAG PINK RETROSPOT,14391.72,8914,810,375,1.614507516266547
22294,HEART FILIGREE DOVE  SMALL,14156.94,11466,585,324,1.2346886446886447
47590A,BLUE HAPPY BIRTHDAY BUNTING,14051.130000000001,2836,307,186,4.954559238363893
21479,WHITE SKULL HOT WATER BOTTLE ,13978.48,2942,507,269,4.751352821210061
35400,WOODEN BOX ADVENT CALENDAR ,13909.6,1425,414,240,9.761122807017545
21930,JUMBO STORAGE BAG SKULLS,13882.66,7202,642,273,1.9276117745070813
21527,RED RETROSPOT TRADITIONAL TEAPOT ,13830.12,1929,445,244,7.1695800933125975
79323P,PINK CHERRY LIGHTS,13760.93,2277,264,132,6.04344751866491
22087,PAPER BUNTING WHITE LACE,13634.54,4431,531,218,3.077079665989619
20748,KENSINGTON COFFEE SET,13566.81,1547,153,73,8.769754363283775
22355,CHARLOTTE BAG SUKI DESIGN,13534.25,10105,547,201,1.3393617021276596
21791,VINTAGE HEADS AND TAILS CARD GAME ,13422.58,10668,744,422,1.25820959880015
82600,NO SINGING METAL SIGN,13335.580000000002,6874,681,280,1.9400029095141114
21213,PACK OF 72 SKULL CAKE CASES,13247.16,25394,839,365,0.5216649602268252
48187,DOOR MAT NEW ENGLAND,13201.61,2023,464,253,6.525758774097874
22444,GROW YOUR OWN PLANT IN A CAN ,13123.28,9578,412,231,1.3701482564209648
21523,DOORMAT FANCY FONT HOME SWEET HOME,12983.39,1960,236,125,6.624178571428571
22629,SPACEBOY LUNCH BOX ,12972.679999999998,6944,504,253,1.8681854838709675
22551,PLASTERS IN TIN SPACEBOY,12818.64,7666,667,412,1.672141925384816
22556,PLASTERS IN TIN CIRCUS PARADE ,12589.37,7658,652,393,1.6439501175241578
22837,HOT WATER BOTTLE BABUSHKA ,12503.44,2707,327,177,4.6189287033616555
22297,HEART IVORY TRELLIS SMALL,12466.69,9707,616,302,1.284298959513753
22605,WOODEN CROQUET GARDEN SET,12454.81,1063,352,244,11.716660395108184
22507,MEMO BOARD RETROSPOT  DESIGN,12433.210000000001,2734,456,285,4.547626188734456
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,12424.16,1305,348,231,9.520429118773945
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12363.970000000001,2967,302,184,4.167162116616111
22456,NATURAL SLATE CHALKBOARD LARGE ,12324.56,2730,373,221,4.514490842490842
22630,DOLLY GIRL LUNCH BOX,12313.66,6554,514,240,1.8788007323771743
85042,ANTIQUE LILY FAIRY LIGHTS,12234.56,2685,292,142,4.556633147113594
79323W, WHITE CHERRY LIGHTS,12198.66,2026,243,136,6.021056268509378
21080,SET/20 RED SPOTTY PAPER NAPKINS ,12185.39,15688,942,481,0.7767331718510964
84978,HANGING HEART JAR T-LIGHT HOLDER,12176.039999999999,9326,707,311,1.3056015440703408
84949,SILVER HANGING T-LIGHT HOLDER,11856.72,7443,422,230,1.5930028214429666
15044A,PINK PAPER PARASOL ,11771.83,4506,148,81,2.612478916999556
21908,CHOCOLATE THIS WAY METAL SIGN,11727.29,6068,527,250,1.9326450230718524
21485,RED SPOT HEART HOT WATER BOTTLE,11670.66,2425,455,282,4.812643298969072
21164,HOME SWEET HOME METAL SIGN ,11656.320000000002,4274,452,251,2.727262517547965
22624,IVORY KITCHEN SCALES,11631.46,1349,537,315,8.622283172720532
21790,VINTAGE SNAP CARDS,11553.289999999999,13383,1001,510,0.8632810281700665
48185,DOOR MAT FAIRY CAKE,11532.31,1727,386,181,6.677654892877823
20719,WOODLAND CHARLOTTE BAG,11505.47,11611,763,232,0.9909112048919128
22501,PICNIC BASKET WICKER LARGE,11466.33,1035,335,196,11.078579710144927
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,11383.97,54947,501,282,0.20718091979543923
82583,HOT BATHS METAL SIGN,11378.35,5750,593,212,1.9788434782608697
22492,MINI PAINT SET VINTAGE ,11300.17,17700,349,227,0.6384276836158193
85150,LADIES & GENTLEMEN METAL SIGN,11266.95,4475,661,272,2.5177541899441342
71053,WHITE METAL LANTERN,11235.54,3032,428,198,3.705653034300792
22505,MEMO BOARD COTTAGE DESIGN,11233.66,2361,451,276,4.7580093180855565
22296,HEART IVORY TRELLIS LARGE,11012.79,6715,533,312,1.6400282948622489
21218,RED SPOTTY BISCUIT TIN,10963.07,2866,521,225,3.825216329378925
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,10949.4,7671,554,292,1.427375831052014
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,10947.970000000001,11497,643,312,0.9522458032530227
84992,72 SWEETHEART FAIRY CAKE CASES,10907.43,21790,871,423,0.5005704451583295
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10868.59,1390,279,179,7.819129496402878
22569,FELTCRAFT CUSHION BUTTERFLY,10761.630000000001,2958,478,264,3.638144016227181
84050,PINK HEART SHAPE EGG FRYING PAN,10665.64,7285,481,230,1.4640549073438571
48185,DOORMAT FAIRY CAKE,10645.77,1513,248,132,7.036199603436881
21524,DOOR MAT SPOTTY HOME SWEET HOME,10563.06,1772,286,170,5.96109480812641
22835,HOT WATER BOTTLE I AM SO POORLY,10563.02,2083,401,232,5.071060969755161
48111,DOOR MAT 3 SMILEY CATS,10532.27,1829,284,125,5.758485511208311
22607,WOODEN ROUNDERS GARDEN SET ,10498.48,1217,394,275,8.626524239934264
22236,CAKE STAND 3 TIER MAGIC GARDEN,10485.07,832,335,200,12.602247596153846
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,10469.85,1387,293,146,7.548558038932949
21484,CHICK GREY HOT WATER BOTTLE,10454.18,2893,503,251,3.6136121673003805
21174,POTTERING IN THE SHED METAL SIGN,10432.949999999999,5625,620,284,1.8547466666666665
22617,BAKING SET SPACEBOY DESIGN,10393.09,2175,493,367,4.778432183908046
22659,LUNCH BOX I LOVE LONDON,10358.97,5333,415,166,1.9424282767672978
22084,PAPER CHAIN KIT EMPIRE,10354.460000000001,3689,389,255,2.8068473841149366
22570,FELTCRAFT CUSHION RABBIT,10337.32,2709,462,244,3.8159173126614987
48194,DOOR MAT HEARTS,10298.44,1700,316,188,6.057905882352942
22606,WOODEN SKITTLES GARDEN SET,10275.38,758,234,177,13.555910290237465
22113,GREY HEART HOT WATER BOTTLE,10268.19,2800,482,286,3.6672107142857144
20724,RED SPOTTY CHARLOTTE BAG,10231.44,11534,780,282,0.887067799549159
20749,ASSORTED COLOUR MINI CASES,10152.59,1381,406,251,7.351622013034033
22467,GUMBALL COAT RACK,10121.130000000001,4286,443,231,2.3614395706952873
22502,PICNIC BASKET WICKER SMALL,10057.7,1924,485,219,5.227494802494803
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10035.72,5886,595,378,1.7050152905198777
22198,LARGE POPCORN HOLDER ,10013.710000000001,5760,504,203,1.7384913194444447
22561,WOODEN SCHOOL COLOURING SET,9998.970000000001,5888,486,348,1.698194633152174
22554,PLASTERS IN TIN WOODLAND ANIMALS,9948.29,6019,603,360,1.6528144210001663
21136,PAINTED METAL PEARS ASSORTED,9868.01,5919,383,261,1.6671751985132623
85232B,SET/3 RUSSIAN DOLL STACKING TINS,9867.14,1968,371,154,5.013790650406504
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,9852.12,12092,332,199,0.8147634799867681
48184,DOOR MAT ENGLISH ROSE ,9816.33,1481,325,184,6.628176907494936
22625,RED KITCHEN SCALES,9769.03,1099,439,241,8.889017288444041
22147,FELTCRAFT BUTTERFLY HEARTS,9737.71,6903,690,408,1.410648993191366
48187,DOORMAT NEW ENGLAND,9716.85,1565,238,165,6.208849840255591
21488,RED WHITE SCARF  HOT WATER BOTTLE,9700.060000000001,2374,356,216,4.085956192080877
22635,CHILDS BREAKFAST SET DOLLY GIRL ,9681.66,1008,309,223,9.604821428571428
22169,FAMILY ALBUM WHITE PICTURE FRAME,9585.04,1126,342,163,8.512468916518651
85099B,RED RETROSPOT JUMBO BAG ,9563.89,5417,210,157,1.7655325826103008
22381,TOY TIDY PINK RETROSPOT  ,9529.53,4553,511,241,2.093022183175928
22633,HAND WARMER UNION JACK,9497.410000000002,4647,468,300,2.043772326231978
22295,HEART FILIGREE DOVE LARGE,9494.23,5758,472,286,1.648876345953456
22699,ROSES REGENCY TEACUP AND SAUCER ,9437.52,3240,381,210,2.9128148148148147
21624,VINTAGE UNION JACK DOORSTOP,9380.99,1567,314,220,5.986592214422463
21704,BAG 250g SWIRLY MARBLES,9304.07,12155,333,189,0.7654520773344302
21485,RETROSPOT HEART HOT WATER BOTTLE,9250.710000000001,1923,362,241,4.810561622464899
21975,PACK OF 60 DINOSAUR CAKE CASES,9227.74,19169,714,361,0.48138870050602534
20747,PICCADILLY TEA SET,9224.92,683,108,48,13.506471449487554
21877,HOME SWEET HOME MUG,9151.19,8743,421,216,1.0466876358229442
22271,FELTCRAFT DOLL ROSIE,9148.95,3244,501,295,2.820268187422935
22499,WOODEN UNION JACK BUNTING,9106.49,1504,373,275,6.054847074468085
21098,CHRISTMAS TOILET ROLL,9095.45,5288,385,201,1.7200170196671711
21777,RECIPE BOX WITH METAL HEART,9075.51,1126,367,169,8.059955595026643
22634,CHILDS BREAKFAST SET SPACEBOY ,9062.199999999999,954,292,212,9.499161425576519
22555,PLASTERS IN TIN STRONGMAN,9041.19,5644,465,307,1.6019117647058825
21735,TWO DOOR CURIO CABINET,8925.699999999999,675,185,98,13.223259259259258
17003,BROCADE RING PURSE ,8922.8,48374,230,127,0.18445445900690452
22424,ENAMEL BREAD BIN CREAM,8909.38,684,298,164,13.025409356725145
22139,RETROSPOT TEA SET CERAMIC 11 PC ,8901.460000000001,1690,366,257,5.267136094674557
22413,METAL SIGN TAKE IT OR LEAVE IT ,8841.85,3263,485,291,2.7097303095311065
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8825.77,7413,349,203,1.19058006205315
22941,CHRISTMAS LIGHTS 10 REINDEER,8823.9,1037,208,153,8.509064609450338
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,8823.06,1338,318,177,6.594215246636771
21094,SET/6 RED SPOTTY PAPER PLATES,8789.859999999999,11402,473,223,0.7709051043676547
21889,WOODEN BOX OF DOMINOES,8765.28,6822,573,353,1.2848548812664908
20718,RED SPOTTY SHOPPER BAG,8763.09,7058,517,237,1.2415826013034854
22636,CHILDS BREAKFAST SET CIRCUS PARADE,8752.17,1062,304,226,8.241214689265536
84839,SWEETHEART KEY CABINET,8747.05,1523,393,219,5.7433026920551535
21390,FILIGRIS HEART WITH BUTTERFLY,8742.34,7064,378,212,1.2375906002265007
22560,TRADITIONAL MODELLING CLAY,8698.23,7048,375,265,1.2341416004540295
21906,PHARMACIE FIRST AID TIN,8672.74,1232,264,165,7.0395616883116885
22487,WHITE WOOD GARDEN PLANT LADDER,8640.119999999999,861,478,368,10.034982578397212
22652,TRAVEL SEWING KIT,8625.16,5055,391,262,1.7062631058358062
22568,FELTCRAFT CUSHION OWL,8608.86,2310,446,247,3.726779220779221
22130,PARTY CONE CHRISTMAS DECORATION ,8579.49,7641,336,248,1.1228229289360032
20685,DOORMAT RED RETROSPOT,8544.27,1135,241,179,7.527991189427313
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,8525.449999999999,5270,368,187,1.6177324478178365
79323LP,LIGHT PINK CHERRY LIGHTS,8481.19,1433,170,107,5.918485694347523
22632,HAND WARMER RED RETROSPOT,8475.44,4106,427,272,2.0641597661958113
21524,DOORMAT SPOTTY HOME SWEET HOME,8451.76,1139,284,174,7.420333625987709
48188,DOOR MAT WELCOME PUPPIES,8429.7,1458,270,147,5.7816872427983546
22946,WOODEN ADVENT CALENDAR CREAM,8421.1,537,147,106,15.68175046554935
21533,RETRO SPOT LARGE MILK JUG,8420.28,1687,516,263,4.99127445168939
21165,BEWARE OF THE CAT METAL SIGN ,8415.65,5291,539,225,1.5905594405594405
22386,JUMBO BAG PINK POLKADOT,8405.710000000001,4159,259,167,2.0210892041356097
47567B,TEA TIME KITCHEN APRON,8400.49,1585,226,137,5.299993690851735
21429,RED GINGHAM ROSE JEWELLERY BOX,8352.38,4828,741,343,1.729987572493786
21380,WOODEN HAPPY BIRTHDAY GARLAND,8335.970000000001,2882,368,232,2.8924253990284527
22273,FELTCRAFT DOLL MOLLY,8299.93,2889,494,285,2.87294219453098
21982,PACK OF 12 SUKI TISSUES ,8280.279999999999,25198,383,204,0.32860861973172467
84880,WHITE WIRE EGG HOLDER,8262.52,1490,305,159,5.545315436241611
48111,DOORMAT 3 SMILEY CATS,8243.24,1300,224,103,6.340953846153846
22654,DELUXE SEWING KIT ,8242.92,1271,294,188,6.485381589299764
21523,DOOR MAT FANCY FONT HOME SWEET HOME,8238.8,1178,245,123,6.993887945670628
48188,DOORMAT WELCOME PUPPIES,8238.49,1367,147,99,6.026693489392831
22468,BABUSHKA LIGHTS STRING OF 10,8213.460000000001,1260,278,147,6.518619047619048
22697,GREEN REGENCY TEACUP AND SAUCER,8203.67,2625,364,184,3.125207619047619
22666,RECIPE BOX PANTRY YELLOW DESIGN,8201.25,2659,593,351,3.0843362166227903
22064,PINK DOUGHNUT TRINKET POT ,8190.8099999999995,4950,465,170,1.654709090909091
85067,CREAM SWEETHEART WALL CABINET,8183.04,495,174,110,16.53139393939394
15056P,EDWARDIAN PARASOL PINK,8124.55,1750,203,128,4.6426
21868,POTTING SHED TEA MUG,8123.97,6758,599,301,1.2021263687481505
22940,FELTCRAFT CHRISTMAS FAIRY,8119.04,1738,303,230,4.6714844649021865
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8098.09,797,138,101,10.160715181932247
20723,STRAWBERRY CHARLOTTE BAG,8092.07,8648,678,232,0.9357157724329325
21260,FIRST AID TIN,8053.45,2416,381,238,3.3333816225165562
20750,RED/WHITE DOT MINI CASES,8051.57,1131,256,172,7.118983200707339
22366,DOORMAT AIRMAIL ,8021.5599999999995,1306,218,131,6.14208269525268
22041,"RECORD FRAME 7"" SINGLE SIZE ",8016.900000000001,3487,211,56,2.2990823057069116
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8001.150000000001,2693,530,255,2.9710917192721875
21121,SET/10 RED SPOTTY PARTY CANDLES,7990.77,6561,388,249,1.2179195244627343
21936,RED RETROSPOT PICNIC BAG,7988.31,2713,414,210,2.9444563214154074
20828,GLITTER BUTTERFLY CLIPS,7987.9800000000005,3340,378,195,2.391610778443114
21035,SET/2 RED SPOTTY TEA TOWELS ,7960.570000000001,2659,426,192,2.993820985332832
21769,VINTAGE POST OFFICE CABINET,7954.87,123,48,42,64.67373983739837
21527,RETRO SPOT TRADITIONAL TEAPOT ,7937.910000000001,1008,261,150,7.874910714285715
47570B,TEA TIME TABLE CLOTH,7937.64,792,196,118,10.022272727272728
21912,VINTAGE SNAKES & LADDERS,7887.04,2005,451,290,3.9336857855361598
22207,FRYING PAN UNION FLAG,7882.32,1852,287,142,4.256112311015118
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7875.33,946,313,168,8.324873150105708
21914,BLUE HARMONICA IN BOX ,7854.54,5432,390,229,1.4459756995581738
22082,RIBBON REEL STRIPES DESIGN ,7842.89,4747,578,354,1.6521782178217823
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,7802.7699999999995,2846,370,184,2.741661981728742
22952,60 CAKE CASES VINTAGE CHRISTMAS,7793.7699999999995,12645,472,276,0.616351917754053
20685,DOORMAT RED SPOT,7765.42,1086,205,159,7.1504788213628
22179,SET 10 LIGHTS NIGHT OWL,7727.55,1127,295,138,6.856743566992014
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,7719.65,8708,531,336,0.8865009186954524
37370,RETRO COFFEE MUGS ASSORTED,7710.05,4911,376,144,1.5699552026063939
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,7703.91,6180,413,179,1.2465873786407766
21212,PACK OF 72 RETROSPOT CAKE CASES,7647.92,13348,443,281,0.5729637398861253
47556B,TEA TIME TEA TOWELS ,7646.02,2601,447,208,2.9396462898885045
22464,HANGING METAL HEART LANTERN,7643.95,4520,444,262,1.6911393805309733
22528,GARDENERS KNEELING PAD,7623.41,5824,554,284,1.3089646291208792
22485,SET OF 2 WOODEN MARKET CRATES,7589.49,583,214,157,13.017993138936534
20685,RED SPOTTY COIR DOORMAT,7563.34,1174,208,132,6.44236797274276
22812,PACK 3 BOXES CHRISTMAS PANNETONE,7557.38,3324,310,215,2.273580024067389
21781,MA CAMPAGNE CUTLERY BOX,7553.62,493,267,124,15.321744421906693
22150,3 STRIPEY MICE FELTCRAFT,7550.58,4236,370,232,1.7824787535410764
21257,VICTORIAN SEWING BOX MEDIUM,7532.76,899,289,133,8.37904338153504
85065,CREAM SWEETHEART TRAYS,7524.44,620,256,162,12.136193548387096
21888,BINGO SET,7493.3,1893,473,285,3.9584257791864768
